id,violation,violationTypeId
1,"A TOP or OSC—that removes significant rights (custody, housing, child support, etc.)—is granted without notice to the affected party",1
2,"A TOP or OSC—that removes significant rights (custody, housing, child support, etc.)—is immediately granted without imminent harm / exigent circumstances",1
3,"Lawyer-only, off record sessions are held in which lawyers present claims and argue positions",1
4,Denied the right to be in attendance at court appearances and hearings,1
5,"Significant rights are removed (physical or legal custody, housing, child support, etc.) as an outcome of a lawyer-only, off-record session",1
6,Custodial rights are removed without a lawyer present,1
7,Litigant not informed of a court appearance(s),1
8,Locked out of court rooms during public hours,1
9,Judge holds trial dates with one party missing,1
10,"An emergency TOP or OSC—that removes significant rights (physical or legal custody, child support)— granted without evidence of imminent harm or “exigent circumstances”",2
11,"A TOP or OSC—that removes significant rights (physical or legal custody, housing, child support, etc.)—is granted without an evidentiary hearing",2
12,"A TOP or OSC—that removes significant rights (physical or legal custody, housing, child support)—is granted without an immediate trial scheduled",2
13,"A TOP or OSC—that removes significant rights (physical or legal custody, housing, child support)—is granted without evidence of unfit parent",2
14,"A TOP or OSC—that removes significant rights (physical or legal custody, housing, child support)—is automatically renewed without trial or evidentiary hearing occurring",2
15,"A TOP or OSC—that removes significant rights (physical or legal custody, housing, child support)—is granted without any evidence from the requestor",2
16,"A TOP or OSC—that removes significant rights (physical or legal custody, housing, child support)—is granted with irrelevant or notably inadequate evidence",2
17,"A TOP or OSC—that removes significant rights (custody, housing, child support)—is granted based on proven perjury",2
18,"A TOP or OSC—that removes significant rights (physical or legal custody, housing, child support)—is granted based on frivolous claims",2
19,A TOP or OSC that changes status quo is granted without best interest analysis for child,2
20,A TOP or OSC is granted without an expiration date,2
21,Custodial changes are made based on an OSC or TOP without also having a petition filed within 10 days,2
22,"A TOP or OSC is granted without cause of action, exigent circumstances or evidence cited on the temporary order",2
23,Judge does not dismiss an OSC or TOP motion when the motion does not have a legal basis,2
24,Judge does not dismiss an OSC or TOP motion when the motion does not meet statutory requirements,2
25,Judge does not dismiss an OSC or TOP motion when there is no evidence provided,2
26,Judge does not dismiss an OSC or TOP motion when the basis for TOP is moot or proven false,2
27,Supervised visits are temporarily ordered without evidentiary hearing or trial,3
28,Supervised visits are ordered without evidence of abuse or neglect,3
29,Supervisor fees that are unrealistic for income levels are court ordered to be able to visit with one’s child,3
30,Court orders zero contact between parent and child without evidence of NY standard of abuse or neglect,3
31,Parent held in contempt for OSC and TOPs that were never tested or proven with evidentiary hearing or trial,3
32,Parent put in jail for OSC and TOPs that were never tested or proven with evidentiary hearing or trial,3
33,"Parents are put in jail as immediate resort for non violent, non criminal actions",3
34,Judge refuses adjournment when significant medical or trauma events occur,3
35,Unnecessary or fabricated defaults are used as basis for significant custodial judgements,3
36,Punitive or unachievable child support fees are ordered,3
37,Excessive child support fees are ordered of a lesser monied spouse to be given to a high income litigant,3
38,Litigant forced to pay AFC or evaluator fees that exceed the capacity of income and assets,3
39,"Orders written with excessively restrictive geo-boundaries (e.g., city limits, county limits) without cause on record",3
40,Orders written that require immediate jail time in order to circumvent statutory requirements and due process for contempt proceedings,3
